cr_id,gender,age,race
1000938,MALE,,BLACK
1000939,MALE,35.0,BLACK
1000941,FEMALE,35.0,BLACK
1000942,MALE,30.0,BLACK
1000943,MALE,,BLACK
1000944,MALE,29.0,BLACK
1000945,MALE,50.0,HISPANIC
1000946,MALE,42.0,BLACK
1000947,FEMALE,35.0,BLACK
1000948,MALE,,BLACK
1000949,FEMALE,53.0,BLACK
1000950,MALE,38.0,BLACK
1000951,FEMALE,65.0,HISPANIC
1000952,FEMALE,46.0,BLACK
1000953,MALE,50.0,WHITE
1000955,FEMALE,38.0,BLACK
1000955,MALE,34.0,HISPANIC
1000956,FEMALE,53.0,BLACK
1000958,MALE,30.0,BLACK
1000959,FEMALE,46.0,BLACK
1000960,FEMALE,50.0,BLACK
1000961,FEMALE,36.0,BLACK
1000962,FEMALE,48.0,BLACK
1000964,MALE,35.0,BLACK
1000966,FEMALE,53.0,BLACK
1000967,MALE,,HISPANIC
1000968,FEMALE,51.0,BLACK
1000969,FEMALE,47.0,BLACK
1000970,FEMALE,56.0,BLACK
1000971,FEMALE,,BLACK
1000973,FEMALE,46.0,BLACK
1000974,MALE,64.0,WHITE
1000975,MALE,84.0,BLACK
1000976,MALE,42.0,BLACK
1000978,MALE,47.0,BLACK
1000979,MALE,61.0,HISPANIC
